Notebook,Time,Model,Num Rows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-L Sum,BERTScore Precision,BERTScore Recall,BERTScore F1,Average BLEURT,Aggregated Score
20231207_Step_97_StartOver_from_0.406_Bart_v1.80,2023-12-08 00:08:34,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.4049808814939391,0.20100592604291964,0.33370754255349666,0.33370754255349666,0.6837327808141709,0.710374316573143,0.6915792614221573,0.5194041941314935,0.41406422469958376
20231207_Step_97_StartOver_from_0.406_Bart_v1.70,2023-12-08 00:02:04,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3969171074558904,0.1929644632100169,0.3306497607799072,0.3306497607799072,0.6804091244935989,0.7128766119480133,0.6907521814107895,0.5202576944977044,0.4103651613557026
20231207_Step_97_StartOver_from_0.406_Bart_v1.60,2023-12-07 23:55:32,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.387626945286934,0.1875068360583039,0.3190015127630652,0.3190015127630652,0.6808098942041397,0.7088575810194016,0.6893262684345245,0.5136800180375576,0.4026905155572417
20231207_Step_97_StartOver_from_0.406_Bart_v1.50,2023-12-07 23:47:30,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3770912050274507,0.1810686867648658,0.3065990280014634,0.3065990280014634,0.6580083310604096,0.7047128021717072,0.6742475867271424,0.5096044646948577,0.3925349998695406
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 23:37:53,20231205_Bart-lg-samsum_5ep_Summ_Loss_Loss_0.87,200.0,0.3856374692556633,0.1960522808028982,0.3154498124124013,0.3154498124124013,0.6763034045696259,0.7049793899059296,0.6852463960647583,0.5164988825470209,0.4023891089158572
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 23:29:57,20231207_Bart-Retrain_SummaryOnly_7ep_Summ_Loss_1.07,200.0,0.3535855758233597,0.1616167810934525,0.2822324365672245,0.2822324365672245,0.6692791968584061,0.696752393245697,0.6768262654542923,0.4909725694730878,0.3745776774964403
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 23:23:05,20231207_Bart-Retrain_SummaryOnly_7ep_Summ_Loss_1.07,200.0,0.3532646065824675,0.1709888705617497,0.2920691563717759,0.2920691563717759,0.6651278913021088,0.6937629282474518,0.6735741853713989,0.4892636927589774,0.3785382780030242
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 23:08:15,20231207_Bart-Retrain_SummaryOnly_7ep_Summ_Loss_1.07,200.0,0.3504746035102665,0.1632436477186795,0.2838766553383883,0.2838766553383883,0.6684321880340576,0.6930731654167175,0.674166014790535,0.4925483089312911,0.3746976476045914
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 23:00:57,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.4066131908900237,0.2037441375329868,0.3367143183071219,0.3367143183071219,0.6849689722061157,0.7096334099769592,0.6913232207298279,0.5187581085413695,0.4156445490514086
20231205_Step_91_FinalRound_Bart-SamsunTr10,2023-12-07 22:43:49,20231129_Bart-Lg-samsum_3ep_Summ_Loss_0.81_R1_0.32,200.0,0.2996919488259404,0.1415565998870944,0.2409066058467378,0.2409066058467378,0.5421110183000565,0.5983595788478852,0.5619859963655471,0.4302436024695634,0.3192152265402702
