Batch,Model,Timestamp,NumRows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,BERTScore-P,BERTScore-R,BERTScore-F1,BLEURT,Agg-Score
BW6GL,gpt-4-1106-preview,2023-12-03 01:14:53,200.0,0.361333697153296,0.15771719717530994,0.2879669425135742,0.30091674105492083,0.890390382707119,0.9003690448403359,0.8950049489736557,0.5657020325213671,0.45354496366744057
CYHM3,gpt-4-1106-preview,2023-12-03 01:13:12,2.0,0.6161035226455787,0.4727272727272726,0.5880661394680086,0.5974119338605319,0.9458989500999452,0.938719928264618,0.9422819018363952,0.6671594381332397,0.657267654962099
J5UDD,gpt-4-1106-preview,2023-12-03 01:07:23,5.0,0.5147202905823596,0.3447070089271924,0.5003058761679451,0.5039094797715487,0.9283444046974182,0.9242379426956177,0.926056444644928,0.5910330563783646,0.5753645353401579
2Z4ZG,gpt-4-1106-preview,2023-12-02 23:54:50,200.0,0.3523795726116049,0.1509646471016097,0.280380254197783,,0.8868704849481582,0.8996596485376358,0.8928801608085633,0.5602477908879518,0.4473704851215025
647SC,gpt-4-1106-preview,2023-12-02 23:52:09,10.0,0.4394916686630513,0.2360462059219822,0.3961323063847295,,0.9107434511184692,0.9114621400833128,0.9109143674373626,0.6122742936015129,0.5189717684017278
8CS20,gpt-4-1106-preview,2023-12-02 23:35:23,5.0,0.5345632058625727,0.3786236751753993,0.5196099348345353,,0.9186760306358336,0.9254112839698792,0.9219336867332458,0.5366231232881546,0.5782707251787815
9EVQ3,gpt-4-1106-preview,2023-12-02 22:39:25,,0.3711942680295714,0.1654058540557641,0.3034906686287292,,0.8915355654075893,0.9005129665437371,0.8956797938756268,0.558112065749939,0.4587765300679261
CHQ2P,gpt-4-1106-preview,2023-12-02 22:34:25,,0.4798285306025244,0.2817329644428378,0.427737424254452,,0.9090282142162324,0.9155360460281372,0.9120913803577424,0.6099366620182991,0.5422653923351711
A2PND,gpt-4-1106-preview,2023-12-02 21:49:15,,0.4685580179115369,0.2656850567078288,0.428610301624667,,0.9140472173690796,0.9137202501296996,0.9136840164661408,0.6182580918073655,0.5389590969035079
8G0F5,gpt-4-1106-preview,2023-12-02 21:38:06,,0.5020839005266147,0.3328553292487718,0.4988580940750017,,0.9191842198371888,0.9304734468460084,0.9247359037399292,0.5788089156150817,0.5674684286410798
UZACP,gpt-4-1106-preview,2023-12-02 11:10:52,,0.371164756925024,0.1642996198031573,0.2974692266328989,,0.8916039726138115,0.8999691087007523,0.8954389947652817,0.5604841947555542,0.4577713585763832
Y1YLF,gpt-4-1106-preview,2023-12-02 10:59:47,,0.4288088611157584,0.1992349960505688,0.3510788611128618,,0.3892349447434147,0.4549002856016159,0.4204893013462424,0.6024512425065041,0.4004126524263871
OK3CI,gpt-4-1106-preview,2023-12-02 10:25:08,,0.3859107349808912,0.1983547267914136,0.3264274327949544,,0.378193615602504,0.4698171695073446,0.4226675351460774,0.5823195308446885,0.383135992111605
9Q58M,gpt-4-1106-preview,2023-12-02 08:33:04,,0.3647264439810264,0.1597697080704143,0.2932785986398484,,0.359445786033757,0.4094410805613734,0.3832123914395924,0.5550616199523211,0.3512097524166405
